site,forest,lon,lat,soil,bio_1,bio_10,bio_11,bio_12,bio_13,bio_14,bio_15,bio_16,bio_17,bio_18,bio_19,bio_2,bio_3,bio_4,bio_5,bio_6,bio_7,bio_8,bio_9
Sao_Bento,ca,-36.4563,-8.5291,LP,233,247,212,698,113,15,55,325,47,259,162,76,64,1308,294,175,118,243,238
Sao_Caetano,ca,-36.1919,-8.2363,LP,230,244,211,513,83,7,62,248,27,211,122,74,65,1205,288,175,112,240,235
Serra_Talhada,ca,-38.3036,-7.8966,LP,264,281,241,726,165,8,82,443,26,128,97,94,63,1377,340,192,147,270,255
Sertania,ca,-37.2266,-8.0646,LV,250,263,228,563,138,9,87,371,27,133,84,91,65,1355,320,182,138,258,248
Tamandare,af,-35.1774,-8.7286,FR,257,269,241,2176,335,51,56,985,166,565,703,45,58,1010,297,218,78,243,259
Timbauba,af,-35.3794,-7.61,LX,240,251,224,1315,213,28,59,616,85,374,411,58,64,971,286,195,90,226,243
Triunfo,ca,-38.0874,-7.8434,LV,237,252,216,1076,234,13,81,641,43,168,160,95,65,1261,311,167,144,243,228
Jaboatao,af,-35.016053,-8.149438,AC,258,269,243,1928,299,42,57,887,137,515,628,42,57,931,295,222,73,245,260
Abreu,af,-34.970026,-7.910648,AC,257,268,243,1812,286,36,60,847,115,504,584,40,57,901,293,222,70,245,259
Sirinhaem,af,-35.172156,-8.576277,FR,259,271,243,1909,297,44,56,867,142,500,629,47,58,1013,300,219,80,245,261
Rio_Tinto,af,-35.182136,-6.726496,AR,255,264,241,1395,209,25,60,617,89,407,424,52,65,872,295,214,81,249,258
Passira,ca,-35.626666666667,-8.0152777777778,LP,245,258,228,900,141,17,62,421,52,277,258,64,64,1091,296,196,100,229,249
Caruaru_Brejo dos cavalos,ca,-36.083333333333,-8.3691666666667,LP,223,236,204,601,90,10,59,266,33,216,163,71,65,1173,279,170,108,225,227
